ID_Encomenda,Data_Calendario,Produto,Quantidade,Preco_Unitario,Estado_Encomenda
ENC-2343,2025-01-28 12:40:00,Churros,6,12.0,Entregue
ENC-1150,2025-01-28 12:43:00,Banoffee,3,14.0,Entregue
ENC-1569,2025-01-28 15:12:00,Pudim,1,8.0,Entregue
ENC-2801,2025-01-28 17:25:00,Bolo,9,12.0,Entregue
ENC-2114,2025-01-28 18:28:00,Bolo,8,12.0,Entregue
ENC-1250,2025-01-29 14:20:00,Pudim,4,8.0,Entregue
ENC-2860,2025-01-29 21:56:00,Churros,9,12.0,Entregue
ENC-1520,2025-01-30 15:07:00,Banoffee,9,14.0,Entregue
ENC-2087,2025-01-30 16:21:00,Morangoffee,2,14.0,Entregue
ENC-2729,2025-01-30 18:50:00,Pudim,3,8.0,Entregue
ENC-2458,2025-01-30 20:57:00,Morangoffee,4,14.0,Entregue
ENC-2262,2025-01-31 13:52:00,Bolo,9,12.0,Entregue
ENC-1883,2025-01-31 15:51:00,Pudim,6,8.0,Entregue
ENC-2022,2025-01-31 18:36:00,Bolo,1,12.0,Entregue
ENC-2062,2025-02-01 15:12:00,Churros,9,12.0,Entregue
ENC-2015,2025-02-01 15:15:00,Pudim,6,8.0,Entregue
ENC-1315,2025-02-01 19:04:00,Churros,2,12.0,Entregue
ENC-1389,2025-02-01 19:14:00,Churros,7,12.0,Entregue
ENC-1623,2025-02-01 19:45:00,Pudim,3,8.0,Entregue
ENC-2762,2025-02-01 21:44:00,Pudim,8,8.0,Entregue
ENC-2182,2025-02-01 21:58:00,Morangoffee,2,14.0,Entregue
ENC-1465,2025-02-02 12:16:00,Bolo,6,12.0,Entregue
ENC-2671,2025-02-02 17:25:00,Pudim,1,8.0,Cancelada
ENC-2148,2025-02-02 18:09:00,Bolo,5,12.0,Entregue
ENC-1776,2025-02-03 11:07:00,Pudim,1,8.0,Entregue
ENC-1577,2025-02-03 11:52:00,Pudim,3,8.0,Entregue
ENC-2267,2025-02-03 14:02:00,Churros,3,12.0,Entregue
ENC-2896,2025-02-03 20:02:00,Churros,1,12.0,Entregue
ENC-2024,2025-02-03 21:32:00,Bolo,8,12.0,Entregue
ENC-1803,2025-02-03 22:49:00,Banoffee,5,14.0,Entregue
ENC-1107,2025-02-04 11:57:00,Morangoffee,3,14.0,Entregue
ENC-2402,2025-02-04 16:00:00,Pudim,8,8.0,Entregue
ENC-1725,2025-02-04 17:08:00,Bolo,1,12.0,Entregue
ENC-1969,2025-02-04 21:20:00,Banoffee,4,14.0,Entregue
ENC-2170,2025-02-04 23:24:00,Pudim,9,8.0,Entregue
ENC-2398,2025-02-05 12:17:00,Pudim,7,8.0,Entregue
ENC-1333,2025-02-05 16:58:00,Churros,1,12.0,Entregue
ENC-1067,2025-02-05 18:17:00,Banoffee,2,14.0,Entregue
ENC-2659,2025-02-05 19:11:00,Morangoffee,8,14.0,Entregue
ENC-2598,2025-02-05 20:20:00,Pudim,7,8.0,Entregue
ENC-1967,2025-02-05 20:52:00,Banoffee,7,14.0,Entregue
ENC-2099,2025-02-05 21:52:00,Morangoffee,10,14.0,Entregue
ENC-2045,2025-02-06 13:38:00,Banoffee,2,14.0,Entregue
ENC-2554,2025-02-06 14:51:00,Morangoffee,4,14.0,Entregue
ENC-1249,2025-02-06 14:56:00,Banoffee,3,14.0,Entregue
ENC-1661,2025-02-06 14:56:00,Banoffee,1,14.0,Cancelada
ENC-2467,2025-02-06 15:33:00,Bolo,5,12.0,Entregue
ENC-1190,2025-02-06 17:05:00,Pudim,5,8.0,Entregue
ENC-1825,2025-02-06 21:00:00,Bolo,5,12.0,Entregue
ENC-2615,2025-02-06 23:53:00,Banoffee,3,14.0,Entregue
ENC-2520,2025-02-07 12:11:00,Pudim,10,8.0,Entregue
ENC-1200,2025-02-07 13:05:00,Banoffee,5,14.0,Entregue
ENC-1180,2025-02-07 14:18:00,Pudim,3,8.0,Entregue
ENC-1664,2025-02-07 16:45:00,Morangoffee,6,14.0,Entregue
ENC-2702,2025-02-07 18:27:00,Churros,4,12.0,Entregue
ENC-1601,2025-02-07 20:05:00,Pudim,7,8.0,Entregue
ENC-2626,2025-02-07 20:54:00,Churros,8,12.0,Entregue
ENC-2252,2025-02-07 21:39:00,Bolo,9,12.0,Cancelada
ENC-1362,2025-02-08 12:12:00,Pudim,10,8.0,Entregue
ENC-1020,2025-02-08 15:54:00,Pudim,7,8.0,Entregue
ENC-1275,2025-02-08 17:04:00,Bolo,7,12.0,Entregue
ENC-2471,2025-02-08 23:37:00,Morangoffee,2,14.0,Entregue
ENC-1904,2025-02-09 11:10:00,Pudim,9,8.0,Entregue
ENC-1113,2025-02-09 12:28:00,Churros,3,12.0,Entregue
ENC-1547,2025-02-09 15:08:00,Banoffee,4,14.0,Entregue
ENC-1459,2025-02-09 16:35:00,Morangoffee,5,14.0,Entregue
ENC-2716,2025-02-09 16:48:00,Morangoffee,2,14.0,Entregue
ENC-2373,2025-02-09 18:54:00,Banoffee,4,14.0,Entregue
ENC-1476,2025-02-09 19:09:00,Banoffee,10,14.0,Cancelada
ENC-2972,2025-02-09 20:14:00,Bolo,9,12.0,Entregue
ENC-1709,2025-02-09 22:14:00,Banoffee,8,14.0,Entregue
ENC-1790,2025-02-09 22:17:00,Pudim,9,8.0,Entregue
ENC-2150,2025-02-09 22:56:00,Churros,2,12.0,Entregue
ENC-2181,2025-02-09 23:37:00,Bolo,7,12.0,Entregue
ENC-1210,2025-02-10 11:30:00,Pudim,4,8.0,Entregue
ENC-2917,2025-02-10 12:35:00,Bolo,3,12.0,Entregue
ENC-1945,2025-02-10 15:49:00,Banoffee,3,14.0,Entregue
ENC-2871,2025-02-10 16:13:00,Churros,7,12.0,Entregue
ENC-2418,2025-02-10 16:30:00,Churros,2,12.0,Entregue
ENC-1497,2025-02-10 17:04:00,Churros,3,12.0,Entregue
ENC-1858,2025-02-10 20:18:00,Bolo,5,12.0,Entregue
ENC-2909,2025-02-10 21:28:00,Churros,10,12.0,Entregue
ENC-1069,2025-02-11 11:17:00,Pudim,1,8.0,Entregue
ENC-1693,2025-02-11 11:23:00,Pudim,10,8.0,Entregue
ENC-1901,2025-02-11 12:23:00,Bolo,3,12.0,Entregue
ENC-2347,2025-02-11 17:47:00,Pudim,10,8.0,Cancelada
ENC-2556,2025-02-11 18:31:00,Banoffee,8,14.0,Entregue
ENC-2507,2025-02-11 21:30:00,Morangoffee,5,14.0,Entregue
ENC-1541,2025-02-12 15:08:00,Morangoffee,2,14.0,Cancelada
ENC-1149,2025-02-12 18:03:00,Bolo,3,12.0,Entregue
ENC-2084,2025-02-12 21:25:00,Pudim,2,8.0,Entregue
ENC-1900,2025-02-12 22:26:00,Morangoffee,6,14.0,Entregue
ENC-1295,2025-02-13 11:37:00,Morangoffee,10,14.0,Cancelada
ENC-2393,2025-02-13 12:24:00,Churros,7,12.0,Entregue
ENC-2833,2025-02-13 12:25:00,Bolo,1,12.0,Entregue
ENC-2549,2025-02-13 19:26:00,Morangoffee,6,14.0,Entregue
ENC-1487,2025-02-13 23:53:00,Banoffee,2,14.0,Entregue
ENC-1579,2025-02-14 15:11:00,Churros,4,12.0,Entregue
ENC-2809,2025-02-14 15:24:00,Morangoffee,6,14.0,Cancelada
ENC-1524,2025-02-14 18:18:00,Bolo,8,12.0,Entregue
ENC-1450,2025-02-14 20:14:00,Churros,5,12.0,Entregue
ENC-2808,2025-02-14 22:10:00,Banoffee,10,14.0,Cancelada
ENC-2555,2025-02-15 12:39:00,Pudim,5,8.0,Entregue
ENC-2204,2025-02-15 12:52:00,Morangoffee,6,14.0,Cancelada
ENC-1762,2025-02-15 12:58:00,Churros,10,12.0,Entregue
ENC-1088,2025-02-15 13:54:00,Morangoffee,4,14.0,Entregue
ENC-1013,2025-02-15 14:06:00,Morangoffee,8,14.0,Entregue
ENC-2595,2025-02-15 18:37:00,Pudim,10,8.0,Cancelada
ENC-2411,2025-02-16 12:27:00,Morangoffee,7,14.0,Entregue
ENC-1609,2025-02-16 15:58:00,Morangoffee,7,14.0,Entregue
ENC-1152,2025-02-16 16:00:00,Banoffee,10,14.0,Entregue
ENC-2396,2025-02-17 11:09:00,Churros,9,12.0,Entregue
ENC-2901,2025-02-17 11:34:00,Bolo,1,12.0,Entregue
ENC-2713,2025-02-17 12:26:00,Morangoffee,8,14.0,Entregue
ENC-1186,2025-02-17 15:03:00,Churros,10,12.0,Entregue
ENC-2178,2025-02-17 15:27:00,Morangoffee,3,14.0,Entregue
ENC-2006,2025-02-17 17:27:00,Pudim,2,8.0,Entregue
ENC-1834,2025-02-18 11:45:00,Banoffee,1,14.0,Entregue
ENC-2047,2025-02-18 15:46:00,Bolo,6,12.0,Entregue
ENC-2397,2025-02-18 18:09:00,Pudim,1,8.0,Entregue
ENC-1801,2025-02-18 22:20:00,Banoffee,6,14.0,Entregue
ENC-2644,2025-02-19 11:05:00,Banoffee,9,14.0,Entregue
ENC-1474,2025-02-19 14:15:00,Banoffee,8,14.0,Entregue
ENC-2888,2025-02-19 16:12:00,Morangoffee,8,14.0,Entregue
ENC-1959,2025-02-19 23:37:00,Morangoffee,3,14.0,Entregue
ENC-2815,2025-02-20 16:29:00,Churros,2,12.0,Entregue
ENC-1598,2025-02-20 21:38:00,Churros,6,12.0,Entregue
ENC-2483,2025-02-20 23:03:00,Pudim,5,8.0,Cancelada
ENC-2203,2025-02-20 23:06:00,Churros,6,12.0,Entregue
ENC-1510,2025-02-21 11:13:00,Banoffee,5,14.0,Entregue
ENC-2248,2025-02-21 12:37:00,Pudim,3,8.0,Entregue
ENC-1831,2025-02-21 16:04:00,Churros,8,12.0,Entregue
ENC-1360,2025-02-21 16:34:00,Morangoffee,7,14.0,Entregue
ENC-2130,2025-02-21 18:31:00,Morangoffee,8,14.0,Entregue
ENC-2944,2025-02-22 11:09:00,Morangoffee,3,14.0,Entregue
ENC-1947,2025-02-22 12:00:00,Bolo,8,12.0,Cancelada
ENC-1847,2025-02-22 17:19:00,Banoffee,7,14.0,Cancelada
ENC-2183,2025-02-22 21:20:00,Bolo,10,12.0,Entregue
ENC-2532,2025-02-22 23:12:00,Pudim,2,8.0,Entregue
ENC-1660,2025-02-23 12:37:00,Churros,8,12.0,Entregue
ENC-1090,2025-02-23 12:41:00,Morangoffee,2,14.0,Entregue
ENC-1728,2025-02-23 17:24:00,Bolo,6,12.0,Entregue
ENC-1666,2025-02-24 15:11:00,Bolo,3,12.0,Entregue
ENC-2596,2025-02-24 15:21:00,Bolo,4,12.0,Entregue
ENC-2974,2025-02-24 15:43:00,Churros,1,12.0,Entregue
ENC-2448,2025-02-24 16:58:00,Pudim,1,8.0,Entregue
ENC-2294,2025-02-24 17:03:00,Bolo,4,12.0,Entregue
ENC-2485,2025-02-24 19:42:00,Churros,6,12.0,Entregue
ENC-1846,2025-02-24 21:38:00,Morangoffee,6,14.0,Cancelada
ENC-2953,2025-02-24 22:38:00,Bolo,2,12.0,Entregue
ENC-1526,2025-02-25 11:07:00,Pudim,9,8.0,Entregue
ENC-1513,2025-02-25 14:11:00,Bolo,2,12.0,Entregue
ENC-2717,2025-02-25 17:00:00,Banoffee,9,14.0,Entregue
ENC-1182,2025-02-25 17:35:00,Pudim,1,8.0,Entregue
ENC-1080,2025-02-25 18:03:00,Banoffee,7,14.0,Entregue
ENC-1376,2025-02-25 19:40:00,Banoffee,5,14.0,Entregue
ENC-2533,2025-02-26 13:07:00,Pudim,5,8.0,Entregue
ENC-2427,2025-02-26 14:05:00,Pudim,10,8.0,Entregue
ENC-2086,2025-02-26 17:51:00,Banoffee,1,14.0,Entregue
ENC-2305,2025-02-26 17:57:00,Banoffee,4,14.0,Entregue
ENC-1422,2025-02-26 22:15:00,Morangoffee,6,14.0,Entregue
ENC-2174,2025-02-26 23:26:00,Pudim,3,8.0,Entregue
ENC-2222,2025-02-26 23:55:00,Bolo,3,12.0,Entregue
ENC-1498,2025-02-27 12:38:00,Churros,6,12.0,Entregue
ENC-2339,2025-02-27 19:23:00,Pudim,1,8.0,Entregue
ENC-2618,2025-02-27 20:18:00,Morangoffee,10,14.0,Entregue
ENC-1528,2025-02-27 21:33:00,Churros,6,12.0,Entregue
ENC-1610,2025-02-27 22:51:00,Bolo,6,12.0,Entregue
ENC-1105,2025-02-28 11:20:00,Churros,9,12.0,Entregue
ENC-1015,2025-02-28 13:26:00,Morangoffee,2,14.0,Entregue
ENC-2364,2025-02-28 14:05:00,Morangoffee,3,14.0,Entregue
ENC-2217,2025-02-28 14:39:00,Banoffee,7,14.0,Entregue
ENC-2895,2025-02-28 17:44:00,Morangoffee,6,14.0,Entregue
ENC-1289,2025-02-28 17:51:00,Bolo,2,12.0,Entregue
ENC-1850,2025-02-28 20:58:00,Banoffee,9,14.0,Entregue
ENC-2913,2025-02-28 21:39:00,Banoffee,5,14.0,Entregue
ENC-2197,2025-03-01 12:16:00,Banoffee,1,14.0,Entregue
ENC-2088,2025-03-01 13:11:00,Churros,1,12.0,Entregue
ENC-1943,2025-03-01 13:22:00,Bolo,4,12.0,Entregue
ENC-1668,2025-03-01 21:00:00,Banoffee,3,14.0,Entregue
ENC-2521,2025-03-01 22:48:00,Banoffee,4,14.0,Entregue
ENC-1614,2025-03-02 16:19:00,Pudim,9,8.0,Entregue
ENC-2069,2025-03-02 17:28:00,Banoffee,10,14.0,Cancelada
ENC-2824,2025-03-02 21:22:00,Churros,9,12.0,Entregue
ENC-2482,2025-03-02 23:44:00,Bolo,7,12.0,Entregue
ENC-2317,2025-03-02 23:56:00,Pudim,9,8.0,Entregue
ENC-1546,2025-03-03 12:47:00,Pudim,4,8.0,Entregue
ENC-2442,2025-03-03 12:51:00,Churros,6,12.0,Entregue
ENC-1658,2025-03-03 14:21:00,Banoffee,6,14.0,Entregue
ENC-1479,2025-03-03 16:21:00,Bolo,6,12.0,Entregue
ENC-1342,2025-03-03 22:19:00,Pudim,2,8.0,Entregue
ENC-2227,2025-03-03 22:53:00,Pudim,8,8.0,Entregue
ENC-2853,2025-03-03 22:59:00,Bolo,5,12.0,Entregue
ENC-1824,2025-03-04 12:03:00,Bolo,7,12.0,Entregue
ENC-1502,2025-03-04 12:36:00,Pudim,6,8.0,Entregue
ENC-1807,2025-03-04 12:51:00,Bolo,1,12.0,Entregue
ENC-2293,2025-03-04 12:52:00,Bolo,9,12.0,Entregue
ENC-1485,2025-03-04 13:17:00,Pudim,5,8.0,Entregue
ENC-1750,2025-03-04 15:06:00,Banoffee,6,14.0,Entregue
ENC-1265,2025-03-04 15:33:00,Bolo,7,12.0,Entregue
ENC-2407,2025-03-04 16:58:00,Churros,10,12.0,Entregue
ENC-1976,2025-03-04 18:13:00,Morangoffee,6,14.0,Entregue
ENC-1157,2025-03-04 20:07:00,Banoffee,9,14.0,Entregue
ENC-2790,2025-03-04 22:30:00,Banoffee,8,14.0,Entregue
ENC-2543,2025-03-05 14:08:00,Churros,8,12.0,Entregue
ENC-1894,2025-03-05 21:26:00,Morangoffee,1,14.0,Entregue
ENC-1688,2025-03-05 22:23:00,Pudim,2,8.0,Entregue
ENC-1977,2025-03-05 22:48:00,Morangoffee,5,14.0,Entregue
ENC-2169,2025-03-06 12:17:00,Banoffee,4,14.0,Cancelada
ENC-2228,2025-03-06 15:28:00,Banoffee,9,14.0,Entregue
ENC-1702,2025-03-06 16:11:00,Bolo,4,12.0,Entregue
ENC-2136,2025-03-06 16:22:00,Banoffee,10,14.0,Cancelada
ENC-1371,2025-03-06 20:17:00,Churros,10,12.0,Cancelada
ENC-2579,2025-03-06 22:08:00,Pudim,10,8.0,Entregue
ENC-1426,2025-03-07 14:53:00,Banoffee,3,14.0,Entregue
ENC-1116,2025-03-07 15:05:00,Bolo,9,12.0,Entregue
ENC-2007,2025-03-07 19:54:00,Morangoffee,1,14.0,Cancelada
ENC-1583,2025-03-07 20:54:00,Banoffee,7,14.0,Entregue
ENC-2330,2025-03-07 23:11:00,Banoffee,2,14.0,Entregue
ENC-2923,2025-03-08 11:16:00,Bolo,10,12.0,Entregue
ENC-1964,2025-03-08 14:45:00,Churros,5,12.0,Entregue
ENC-1859,2025-03-08 16:44:00,Morangoffee,7,14.0,Entregue
ENC-1625,2025-03-08 19:35:00,Churros,10,12.0,Entregue
ENC-1079,2025-03-08 21:53:00,Churros,6,12.0,Entregue
